"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"Roduit","2012","PASTURE","prospective cohort","prospective","chocolate","chocolate","CHOCOLATE","INFANT CONFECTIONERY INTRODUCTION","infant-1st year-intro",">12","3 to 12","8plus","categ(months)","1=yes","atopic","AD","","4","0to4","low-normal","Low","Low","High","Unclear-High","","","","","","","","","","","","","","","","OR","0.53","0.36","0.77","","OR","","","-0.634878272","0.190568116","-0.634878272","0.190568116","","","","0.53","0.364805195","0.77","0.53","0.364805195","0.77","OR","","","0.634878272","0.190568116","0.634878272","0.190568116","","","","1.886792453","1.298701299","2.741189035","1.886792453","1.298701299","2.741189035"
"Roduit","2012","PASTURE","prospective cohort","prospective","age at introduction -butter","butter","ANIMAL- DAIRY- SATURATED","INFANT FAT SOURCE INTRODUCTION","infant-1st year-intro",">12","3 to 12","8plus","categ(months)","1=yes","atopic","AD","","4","0to4","low-normal","Low","Low","High","Unclear-High","","","","","","","","","","","","","","","","OR","0.89","0.6","1.3","","OR","","","-0.116533816","0.193315347","-0.116533816","0.193315347","","","","0.89","0.609307692","1.3","0.89","0.609307692","1.3","OR","","","0.116533816","0.193315347","0.116533816","0.193315347","","","","1.123595506","0.769230769","1.641206918","1.123595506","0.769230769","1.641206918"
"Roduit","2012","PASTURE","prospective cohort","prospective","age at introduction -Vegetables or fruits","fruits and vegetables","ANY","INFANT FRUIT AND VEG INTRODUCTION","infant-1st year-intro",">6","<6","5to7","categ(months)","1=yes","atopic","AD","","4","0to4","low-normal","Low","Low","High","Unclear-High","","","","","","","","","","","","","","","","OR","0.46","0.31","0.7","","OR","","","-0.776528789","0.214211146","-0.776528789","0.214211146","","","","0.46","0.302285714","0.7","0.46","0.302285714","0.7","OR","","","0.776528789","0.214211146","0.776528789","0.214211146","","","","2.173913043","1.428571429","3.308128544","2.173913043","1.428571429","3.308128544"
"Roduit","2012","PASTURE","prospective cohort","prospective","age at introduction - meat","meat","","INFANT MEAT INTRODUCTION","infant-1st year-intro",">8","3TO8","8plus","categ(months)","1=yes","atopic","AD","","4","0to4","low-normal","Low","Low","High","Unclear-High","","","","","","","","","","","","","","","","OR","0.75","0.49","1.14","","OR","","","-0.287682072","0.213627722","-0.287682072","0.213627722","","","","0.75","0.493421053","1.14","0.75","0.493421053","1.14","OR","","","0.287682072","0.213627722","0.287682072","0.213627722","","","","1.333333333","0.877192982","2.026666667","1.333333333","0.877192982","2.026666667"
"Andreasyan","2007","Tasmanian Infant Health Survey- >CARHS ","prospectvie cohort","prospective","SPECIFIC FOOD INTAKE - CHILD","honey","HONEY","INFANT CONFECTIONERY INTRODUCTION","infant-1st year-intro",">1","<=1","0to4","categ(months)","1=yes","atopic","AD","","9","5to14","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","RR","0.4","0.11","1.5","","","RR","0.44","0.12","1.65","","RR","-0.916290732","0.674365224","-0.820980552","0.674365224","-0.820980552","0.674365224","0.4","0.106666667","1.5","0.44","0.117333333","1.65","0.44","0.117333333","1.65","RR","0.916290732","0.674365224","0.820980552","0.674365224","0.820980552","0.674365224","2.5","0.666666667","9.375","2.272727273","0.606060606","8.522727273","2.272727273","0.606060606","8.522727273"
"Roduit","2012","PASTURE","prospective cohort","prospective","Specific food exposure - infant","Farm milk' - either boiled or not boiled","","INFANT FARM MILK INTAKE","infant-1st year-intake","No farm milk in first year","Farm milk in infant diet","oftenVSnever-rare","yes-no","2=no","atopic","AD","","4","0to4","low-normal","Unclear","Unclear-high","Low","Low","","","","","","","","","","","","","","","","OR","0.88","0.49","1.57","","OR","","","-0.127833372","0.29536173","-0.127833372","0.29536173","","","","0.88","0.493248408","1.57","0.88","0.493248408","1.57","OR","","","-0.127833372","0.29536173","-0.127833372","0.29536173","","","","0.88","0.493248408","1.57","0.88","0.493248408","1.57"
"Alm","2009","Infants of Western Sweden","prospective cohort","prospective","type of fat on bread","type of fat on bread","ANIMAL- DAIRY- SATURATED","INFANT FAT SOURCE INTRODUCTION","infant-1st year-intake","Dairy (<12)","Nil(>12)","8plus","yes-no","1=yes","atopic","AD","","1","0to4","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","1.06","0.77","1.47","","","","","","","NS","OR","0.058268908","0.166833415","","","0.058268908","0.166833415","1.06","0.764353741","1.47","","","","1.06","0.764353741","1.47","OR","-0.058268908","","","0.223599455","-0.058268908","0.223599455","","","","","","","0.943396226","0.608642727","1.462264151"
"Alm","2009","Infants of Western Sweden","prospective cohort","prospective","lactic acid (yoghurt  fermentedvegetables  etc)","lactic acid (yoghurt  fermentedvegetables  etc)","","INFANT FERMENTED FOOD INTAKE","infant-1st year-intake",">3","0","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","1","0to4","low-normal","High","Unclear-high","Low","Low","","","","","","","","","","OR","2.87","2.24","3.69","","","","","","","NS","OR","1.05431203","0.128221647","","","1.05431203","0.128221647","2.87","2.232222222","3.69","","","","2.87","2.232222222","3.69","OR","1.05431203","0.128221647","","","1.05431203","0.128221647","2.87","2.232222222","3.69","","","","2.87","2.232222222","3.69"
"Kull","2006","BAMSE","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","<=1 time/mo","> =2-3 time/mo","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","4","0to4","low-normal","Low","Low","Low","Low","","","","","","2896","551","716","190","","","","","","","OR","0.69","0.57","0.84","","OR","-0.430028731","0.096982575","-0.371063681","0.100362395","-0.371063681","0.100362395","0.650490405","0.537882804","0.786672791","0.69","0.566785714","0.84","0.69","0.566785714","0.84","OR","-0.430028731","0.096982575","-0.371063681","0.100362395","-0.371063681","0.100362395","0.650490405","0.537882804","0.786672791","0.69","0.566785714","0.84","0.69","0.566785714","0.84"
"Magnussonm","2013","BAMSE ","prospective cohort","prospective","FISH","fish","any fish","INFANT FISH- FISH OIL INTAKE","infant-1st year-intake","<=1 time/mo","> =2-3 time/mo","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","12","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","0.87","0.7","1.08","","OR","","","-0.139262067","0.110317912","-0.139262067","0.110317912","","","","0.87","0.700833333","1.08","0.87","0.700833333","1.08","OR","","","-0.139262067","0.110317912","-0.139262067","0.110317912","","","","0.87","0.700833333","1.08","0.87","0.700833333","1.08"
