"FirstAuthor","YearOfPublication","StudyName","StudyDesign","StudyDesignGroup","Exposure","SpecificExposure","IfExposureIsCategoricalReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureCutoff","ExposureGroup","ToReverseReferenceGroup","CodeLargerComparisonGroup","LargerComparisonGroup","Outcome","SpecificOutcome","OutcomeSubgroup","OutcomeGroup","SpecficOutcomeGroup","AgeAtOutcomeGroup","AgeAtOutcome","DiseaseRisk","DiseaseRiskGroup","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotentialConflictOfInterest","RiskOfBiasDueToPotentialConflictOfInterestGroup","NumberExposedInCases","NoNonExposedInCases","NumberExposedInControls","NumberNonExposedInControls","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Cl(Lower)","95%Cl(Upper)","Pvalue","OtherInformationUnadjustedAnalysis","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","Adj95%Cl(Lower)","Adj95%Cl(Upper)","AdjPValue","OtherInformationAdjustedAnalysis","same as column z . AR CAN BE REMOVED","FinalEffect","UnadjInOr(RawNumbersOrUnadjOrRrHr)","Unadjse(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOrOriginal","AdjSe(InOr)","FinalInOrOriginal","FinalSe(InOr)","UnadjInOr","AdjInOr","FinalInOr"
"Matheson (FH+)","2007","Tasmanian ASTHMA Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","ge15","32","high","high","Unclear","Other","High","Unclear-High","","","","","","","","","","","OR","1.84","1.03","3.29","","","High","OR","0.29","0.22","0.61","0.3","0.61","0.3","0.29","0.61","0.61"
"Matheson (FH-)","2007","Tasmanian ASTHMA Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","ge15","32","normal/low","low","Unclear","Other","High","Unclear-High","","","","","","","","","","","OR","1.06","0.69","1.62","","","High","OR","0.1","0.18","0.06","0.22","0.06","0.22","0.1","0.06","0.06"
"Matheson (FH+)","2007","Tasmanian ASTHMA Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","5to14","7","high","high","Unclear","Other","High","Unclear-High","","","","","","","","","","","OR","0.75","0.58","0.97","","","High","OR","-0.32","0.12","-0.29","0.13","-0.29","0.13","-0.32","-0.29","-0.29"
"Matheson (FH-)","2007","Tasmanian ASTHMA Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","5to14","7","normal/low","low","Unclear","Other","High","Unclear-High","","","","","","","","","","","OR","1.12","0.91","1.37","","","High","OR","0.06","0.09","0.11","0.1","0.11","0.1","0.06","0.11","0.11"
"Rylander","1993","Rylander  E.","CASE CONTROL","retrospective","Duration of exclusive breastfeeding","eBF","?3",">3","3","3to4","2",">=3","","Asthma-Wheeze","wheeze","","atopic","wheeze","0to4","4","normal/low","normal","High","Other","High","Unclear-High","112","87","233","118","","","","","","","OR","","","","","","High","OR","-0.43","0.18","","","-0.43","0.18","-0.43","","-0.43"
"Stene","2003","Stene  L. C. ","case control","retrospective","BF present/absent","eBF","0","3.5-6","0","0to2","2","3.5-6","","DM","Medical diagnosis","TIDM","autoim","TIDM","auto","9","normal/low","normal","Unclear","Other","High","Unclear-High","77","","38","","OR","0.537634409","0.355871886","0.81300813","p for trend = <0.001","","OR","0.689655172","0.398406375","1.204819277","p for trend = 0.004","","High","OR","-0.62","0.21","-0.37","0.28","-0.37","0.28","-0.62","-0.37","-0.37"
"Matheson","2007","Tasmanian ASTHMA Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Food Allergy","ANY FOOD","","atopic","FA-ANY","ge15","44","normal/low","normal","Unclear","Other","High","Unclear-High","","","","","","","","","","","OR","1.25","1.05","1.51","","NO SIGN. INTERACTION WITH MATERNAL ALLERGY","High","OR","0.21","0.09","0.22","0.1","0.22","0.1","0.21","0.22","0.22"
"Matheson","2007","Tasmanian ASTHMA Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","Rhinoconjunctivits","ALLERGIC RHINITIS","","atopic","AR","ge15","44","normal/low","normal","Unclear","Other","High","Unclear-High","","","","","","","","","","","OR","1.14","1.01","1.28","","NO SIGN. INTERACTION WITH MATERNAL ALLERGY","High","OR","0.11","0.06","0.13","0.06","0.13","0.06","0.11","0.13","0.13"
"Kellberger","2012"," SOLAR survey (f.u)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF",">=2","<2","2","0to2","1",">=2","","Rhinoconjunctivits","Ever AR","","atopic","AR","ge15","6TO18","normal/low","normal","Unclear","Other","High","Unclear-High","","","","","OR","3.5","2.2","4.9","","","or","1.6","1.1","2.2","","","High","or","1.25","0.17","0.47","0.16","0.47","0.16","-1.25","-0.47","-0.47"
"Laubereau","2003","GINI","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<4","4","4","3to4","2","4","","AD","Ever AD","","atopic","AD","0to4","3","normal/low","normal","Low","Low","High","Unclear-High","","","","","OR","1.08","","","","","OR","0.95","0.79","1.14","","","High","OR","","","-0.05","0.09","-0.05","0.09","","-0.05","-0.05"
"Matheson","2007","Tasmanian ASTHMA Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","3","3","3to4","2",">=3","","AD","EVER eczema","","atopic","AD","ge15","44","normal/low","normal","Unclear","Other","High","Unclear-High","","","","","","","","","","","OR","1.06","0.95","1.19","","","High","OR","","","0.06","0.06","0.06","0.06","","0.06","0.06"
