FirstAuthor,YearOfPublication,StudyName,StudyDesign,TypeOfIntervention,SpecficOutcome,OutcomeSubgroup,AgeAtOutcome,AgeAtOutcomeGroup,DiseaseRiskGroup,SelectedPopulation,Intervention,ExpSubg,IntervSubg,TimeOfIntervention,TotalNInter,NEventsInter,TotalNCtrl,NEventsCtrl,OverallRiskofBias,OverallRiskOfBiasGroup,ConflictOfInterestBias,ConflictOfInterestBiasGroup,MeanInter,SdInter,MeanCtrl,SdCtrl
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,TotIgE,,8,any,High,Representative population,MULTI,,,post,55,,62,,Unclear,High/Unclear,Low,Low,103.6,5.5,91.69,5.4
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,BHR,,8,5to14,High,Representative population,MULTI,,,post,52,17,58,25,Unclear,High/Unclear,Low,Low,,,,
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,ASaero,,8,any,High,Representative population,MULTI,,,post,55,11,62,28,Unclear,High/Unclear,Low,Low,,,,
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,ASfd,,8,any,High,Representative population,MULTI,,,post,55,0,62,5,Unclear,High/Unclear,Low,Low,,,,
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,Wheeze,,8,5to14,High,Representative population,MULTI,,,post,58,8,62,17,Unclear,High/Unclear,Low,Low,,,,
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,AD,,8,5to14,High,Representative population,MULTI,,,post,58,21,62,29,Unclear,High/Unclear,Low,Low,,,,
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,ADatop,,8,5to14,High,Representative population,MULTI,,,post,55,5,62,17,Unclear,High/Unclear,Low,Low,,,,
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,AR,,8,5to14,High,Representative population,MULTI,,,post,58,19,62,28,Unclear,High/Unclear,Low,Low,,,,
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,ARatop,,8,5to14,High,Representative population,MULTI,,,post,55,7,62,19,Unclear,High/Unclear,Low,Low,,,,
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,FAany,,8,5to14,High,Representative population,MULTI,,,post,58,11,62,26,Unclear,High/Unclear,Low,Low,,,,
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,RecWheeze,,8,5to14,High,Representative population,MULTI,,,post,58,23,62,30,Unclear,High/Unclear,Low,Low,,,,
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,RecWheeze.atop,,8,5to14,High,Representative population,MULTI,,,post,55,7,62,16,Unclear,High/Unclear,Low,Low,,,,
Arshad,1992,Isle of Wight Prevention Study,RCT,Multifaceted,AD,,1,0to4,High,Representative,MULTI,,envir.control,post,58,4,62,12,Unclear,High/Unclear,Unclear,High/Unclear,,,,
Arshad,1992,Isle of Wight Prevention Study,RCT,Multifaceted,FAany,,1,0to4,High,Representative,MULTI,,,post,58,2,62,7,Unclear,High/Unclear,Unclear,High/Unclear,,,,
Arshad,1992,Isle of Wight Prevention Study,RCT,Multifaceted,RecWheeze,,1,0to4,High,Representative,MULTI,,,post,58,4,62,12,Unclear,High/Unclear,Unclear,High/Unclear,,,,
