"FirstAuthor","YearOfPublication","StudyName","StudyDesign","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","Intervention","InterventionGroup","TypeOfBacteria","MaternalInfantAdministration","TimeOfIntervention","TotalNInter","NEventsInter","TotalNCtrl","NEventsCtrl","OverallRiskOfBias","ConflictOfInterestBias","MeanInter","SdInter","MeanCtrl","SdCtrl"
"Abrahamsson","2007","Abrahamsson","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","95","34","93","32","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","AtopicAD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","76","13","75","21","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","RC","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","100","1","100","4","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","WHZ","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","17","94","15","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","WHZ.REC","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","100","7","91","10","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","AD","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","39","90","36","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","AtopicAD","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","80","13","77","11","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","LFobsrt","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","57","5","63","3","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","LFrev","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","57","7","63","5","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","RC","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","25","90","18","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","WHZ","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","18","90","14","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","WHZ.REC","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","17","90","15","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT"," ASfd","sIgE - food","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","76","26","72","26","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","17","93","27","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","AScm","SPT - cow's milk","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","100","4","86","6","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT"," ASegg","SPT - egg","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","93","13","91","21","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","214","73","222","72","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","AtopicAD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","9","173","21","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","FAany","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","200","22","204","31","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","RC","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","190","10","201","10","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","WHZ","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","23","179","20","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","18","173","32","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","AScm","SPT - cow's milk","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","1","173","6","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT"," ASegg","SPT - egg","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","9","173","19","High/Unclear","High/Unclear","","","",""
"Arslanoglu","2008","Moro","RCT","AD","","2","0to4","High","PRE-SYNB","PREBIOTICS","PREBIO.only","Infant only","Postnatal only","66","9","68","19","High/Unclear","High/Unclear","","","",""
"Arslanoglu","2008","Moro","RCT","WHZ.REC","","2","0to4","High","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","66","5","68","14","High/Unclear","High/Unclear","","","",""
